id,name,city
0,3ROX,Pittsburgh
1,Big Ten Academic Alliance OmniPoP,Chicago
2,Big Ten Academic Alliance OmniPoP,Starlight
3,CAAREN,McLean
4,CEN,Hartford
5,CENIC,LosAngeles
6,Drexel University,Phili
7,FLR,Jxnv
8,GPN,KanC
9,GPN,Tulsa
10,Indiana GigaPoP,Chicago
11,Indiana GigaPoP,Ind
12,KyRON,Louisville
13,LEARN,Dallas
14,LEARN,Houston
15,LONI,BtnRge
16,MAGPI,Phili
17,MARIA,Ashburn
18,MAX,Ashburn
19,MAX,McLean
20,MCNC,Charlotte
21,MCNC,Raleigh
22,Merit Network,Detroit
23,MissiON,Jackson
24,MissiON,Jackson
25,MREN,Starlight
26,Nevada System of Higher Education,LasVegas
27,Nevada System of Higher Education,Reno
28,Northern Lights GigaPoP,Mpolis
29,NoX,Albany
30,NoX,Boston
31,NoX,NewYork
32,NYSERNet,Buffalo
33,NYSERNet,NewYork
34,OARnet,Cincinnati
35,OARnet,Cleveland
36,Oregon GigaPoP,Portland
37,Oregon GigaPoP,Portland
38,PNWGP,Seattle
39,PNWGP,Starlight
40,SoX,Atlanta
41,Sun Corridor Network,Phoenix
42,Sun Corridor Network,Tucson
43,UEN,SLC
44,University of Illinois,Chicago
45,University of Illinios,Starlight
46,University of Memphis,Memphis
47,University of Montana,Missoula
48,University of Pittsburgh,Pittsburgh
49,,SanFran